,Player,Game ID,Birds,Bonus cards,End-of-round goals,Eggs,Food on cards,Tucked cards,Nectar,Total,Expansion
429,Felton,134,33,11,15.0,8,1,6.0,0.0,74.0,Asia
430,Robena,134,28,24,12.0,19,0,6.0,0.0,89.0,Asia
431,Danette,135,36,4,14.0,3,4,12.0,0.0,73.0,Asia
432,Dennis,135,34,14,17.5,9,1,12.0,0.0,87.5,Asia
433,Bonita,135,49,16,5.5,2,10,7.0,0.0,89.5,Asia
434,Dennis,136,32,4,13.0,12,13,7.0,0.0,81.0,Asia
435,Danette,136,24,3,11.0,4,0,13.0,0.0,55.0,Asia
436,Marion,137,44,7,5.0,25,0,10.0,0.0,91.0,Asia
437,Bonita,137,37,3,7.5,31,0,26.0,0.0,104.5,Asia
438,Dennis,137,28,6,8.0,23,0,11.0,0.0,76.0,Asia
439,Danette,137,43,14,17.5,6,12,3.0,0.0,95.5,Asia
440,Dennis,138,39,3,14.0,10,5,0.0,0.0,71.0,Asia
441,Danette,138,37,3,16.0,11,3,1.0,0.0,71.0,Asia
442,Marion,139,27,3,3.33,18,7,7.0,0.0,65.33,Asia
443,Dennis,139,30,7,11.83,25,0,12.5,0.0,86.33,Asia
444,Danette,139,35,8,15.0,11,1,6.0,0.0,76.0,Asia
445,Bonita,139,41,6,7.83,17,3,0.0,0.0,74.83,Asia
446,Marion,140,28,5,6.34,16,4,15.0,0.0,74.34,Asia
447,Danette,140,28,8,14.34,23,2,5.0,0.0,80.34,Asia
448,Dennis,140,35,9,8.0,30,0,4.0,0.0,86.0,Asia
449,Bonita,140,23,6,9.34,24,0,18.0,0.0,80.34,Asia
450,Felton,141,46,31,8.5,5,15,7.0,0.0,112.5,Asia
451,Robena,141,27,7,5.67,28,0,11.0,0.0,78.67,Asia
452,Marion,141,52,6,0.0,17,2,4.0,0.0,81.0,Asia
453,Dennis,141,35,18,10.17,0,7,4.0,0.0,74.17,Asia
454,Danette,141,50,16,7.17,4,6,2.0,0.0,85.17,Asia
455,Bonita,141,41,10,6.5,13,0,23.0,0.0,93.5,Asia
456,Dennis,142,27,7,0.33,23,10,8.0,0.0,75.33,Asia
457,Danette,142,41,5,12.83,1,0,10.0,0.0,69.83,Asia
458,Felton,142,30,6,13.5,12,1,10.0,0.0,72.5,Asia
459,Robena,142,34,13,11.33,25,0,10.0,0.0,93.33,Asia
460,Dennis,143,22,9,8.75,23,0,9.0,0.0,71.75,Asia
461,Marion,143,36,15,4.25,16,0,14.0,0.0,85.25,Asia
462,Felton,143,35,15,8.0,14,0,7.0,0.0,79.0,Asia
463,Danette,143,34,3,13.0,8,0,6.0,0.0,64.0,Asia
464,Robena,143,42,9,15.25,26,3,2.0,0.0,97.25,Asia
465,Bonita,143,38,27,8.75,24,0,9.0,0.0,106.75,Asia
466,Marion,144,43,20,6.0,4,0,11.0,0.0,84.0,Asia
467,Danette,144,22,7,9.5,9,0,12.0,0.0,59.5,Asia
468,Dennis,144,42,14,15.0,10,0,6.0,0.0,87.0,Asia
469,Bonita,144,29,7,7.5,19,3,30.0,0.0,95.5,Asia
470,Dennis,145,40,2,15.0,11,1,9.0,0.0,78.0,Asia
471,Danette,145,38,3,16.0,5,0,0.0,0.0,62.0,Asia
472,Marion,146,34,3,2.33,10,0,22.0,0.0,71.33,Asia
473,Danette,146,37,9,8.33,11,4,0.0,0.0,69.33,Asia
474,Dennis,146,36,13,13.0,21,4,0.0,0.0,87.0,Asia
475,Bonita,146,35,6,14.33,26,0,26.0,0.0,107.33,Asia
